Model,Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel,Fuel_Consumption,,CO2_Emissions,CO2,Smog
2023,Audi,SQ5 quattro,SUV: Small,3,6,AS8,Z,12.5,9.7,262,4,5
2023,Audi,SQ5 Sportback quattro,SUV: Small,3,6,AS8,Z,12.5,9.7,262,4,5
2023,Audi,SQ7 quattro,SUV: Standard,4,8,AS8,Z,16.1,11.3,325,3,3
2023,Audi,SQ8 quattro,SUV: Standard,4,8,AS8,Z,16.1,11.3,325,3,3
2023,Audi,TT Coupé 45 TFSI quattro,Subcompact,2,4,AM7,X,10.5,8,221,5,7
2023,Audi,TT Roadster 45 TFSI quattro,Two-seater,2,4,AM7,X,10.5,8,221,5,7
2023,Audi,TTS Coupé quattro,Subcompact,2,4,AM7,Z,10,7.7,209,5,3
2023,Bentley,Bentayga,SUV: Standard,4,8,AS8,Z,16.2,11.2,328,3,3
2023,Bentley,Bentayga EWB,SUV: Standard,4,8,AS8,Z,16.2,11.2,328,3,3
2023,Bentley,Bentayga Speed,SUV: Standard,6,12,AS8,Z,19.3,12.7,383,2,3
2023,Bentley,Continental GT,Subcompact,4,8,AM8,Z,15.3,10.4,307,4,3
2023,Bentley,Continental GT Speed,Subcompact,6,12,AM8,Z,19.6,12,379,2,3
2023,Bentley,Continental GTC,Minicompact,4,8,AM8,Z,15.8,10.5,315,4,3
2023,Bentley,Continental GTC Speed,Minicompact,6,12,AM8,Z,20.3,12.9,395,2,3
2023,Bentley,Flying Spur,Mid-size,4,8,AM8,Z,15.9,10.8,319,3,3
2023,Bentley,Flying Spur Speed,Mid-size,6,12,AM8,Z,19.2,12.2,373,2,3
2023,BMW,230i xDrive Coupe,Subcompact,2,4,AS8,Z,9.6,6.9,195,6,3
2023,BMW,330i xDrive Sedan,Compact,2,4,AS8,Z,9.8,7,200,6,7
2023,BMW,430i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10.1,7.1,203,5,7
2023,BMW,430i xDrive Coupe,Subcompact,2,4,AS8,Z,10.1,7.1,203,5,7
2023,BMW,530i xDrive Sedan,Mid-size,2,4,AS8,Z,10.1,7.5,206,5,7
2023,BMW,540i xDrive Sedan,Mid-size,3,6,AS8,Z,10.5,8.1,219,5,5
2023,BMW,760i xDrive Sedan,Full-size,4.4,8,AS8,Z,13,9.1,261,4,5
2023,BMW,ALPINA B8 Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,284,4,3
2023,BMW,ALPINA XB7,SUV: Standard,4.4,8,AS8,Z,15.2,11.6,314,4,5
2023,BMW,M2 Coupe,Subcompact,3,6,AS8,Z,14.6,10.3,294,4,5
2023,BMW,M2 Coupe,Subcompact,3,6,M6,Z,14.3,10,287,4,5
2023,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,10.4,7.4,210,5,5
2023,BMW,M3 Sedan,Compact,3,6,M6,Z,14.7,10.1,293,4,5
2023,BMW,M3 Competition M xDrive Sedan,Compact,3,6,AS8,Z,14.6,10.5,296,4,5
2023,BMW,M340i xDrive Sedan,Compact,3,6,AS8,Z,10.3,7.4,210,5,5
2023,BMW,M4 Competition M xDrive Cabriolet,Subcompact,3,6,AS8,Z,15.1,10.4,301,4,5
2023,BMW,M4 Coupe,Subcompact,3,6,M6,Z,14.7,10.1,293,4,5
2023,BMW,M4 Competition M xDrive Coupe,Subcompact,3,6,AS8,Z,14.6,10.5,296,4,5
2023,BMW,M4 CSL Coupe,Subcompact,3,6,AS8,Z,15,10.3,301,4,5
2023,BMW,M440i xDrive Cabriolet,Subcompact,3,6,AS8,Z,10.6,7.7,216,5,5
2023,BMW,M440i xDrive Coupe,Subcompact,3,6,AS8,Z,10.7,7.6,216,5,5
2023,BMW,M5 Sedan,Mid-size,4.4,8,AS8,Z,16.1,11.1,324,3,3
2023,BMW,M5 Competition Sedan,Mid-size,4.4,8,AS8,Z,16.1,11.1,324,3,3
2023,BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,Z,14,9.5,277,4,3
2023,BMW,M8 Competition Cabriolet,Subcompact,4.4,8,AS8,Z,16.1,10.9,321,3,3
2023,BMW,M8 Competition Coupe,Subcompact,4.4,8,AS8,Z,16.1,10.9,321,3,3
2023,BMW,M8 Competition Gran Coupe,Mid-size,4.4,8,AS8,Z,16.1,10.9,321,3,3
2023,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.1,9.9,284,4,3
2023,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,14.1,9.9,284,4,3
2023,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,284,4,3
2023,BMW,X1 xDrive28i,SUV: Small,2,4,AM7,Z,9.6,7,195,6,8
2023,BMW,X3 xDrive30i,SUV: Small,2,4,AS8,Z,11,8.4,229,5,7
2023,BMW,X3 M,SUV: Small,3,6,AS8,Z,15.7,11.7,323,3,3
2023,BMW,X3 M Competition,SUV: Small,3,6,AS8,Z,15.7,11.7,323,3,3
2023,BMW,X3 M40i,SUV: Small,3,6,AS8,Z,10.9,9,235,5,5
2023,BMW,X4 xDrive30i,SUV: Small,2,4,AS8,Z,11,8.4,229,5,7
2023,BMW,X4 M,SUV: Small,3,6,AS8,Z,15.7,11.7,323,3,3
2023,BMW,X4 M Competition,SUV: Small,3,6,AS8,Z,15.7,11.7,323,3,3
2023,BMW,X4 M40i,SUV: Small,3,6,AS8,Z,10.9,9,235,5,5
2023,BMW,X5 xDrive40i,SUV: Standard,3,6,AS8,Z,11.4,9.3,242,5,3
2023,BMW,X5 M,SUV: Standard,4.4,8,AS8,Z,17.9,13,364,2,3
2023,BMW,X5 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13,364,2,3
2023,BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,14.7,10.9,302,4,3
2023,BMW,X6 xDrive40i,SUV: Standard,3,6,AS8,Z,11.4,9.3,242,5,3
2023,BMW,X6 M,SUV: Standard,4.4,8,AS8,Z,17.9,13,364,2,3
2023,BMW,X6 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13,364,2,3
2023,BMW,X6 M50i,SUV: Standard,4.4,8,AS8,Z,14.7,10.9,302,4,3
2023,BMW,X7 xDrive40i,SUV: Standard,3,6,AS8,Z,11.3,9.5,243,5,7
2023,BMW,X7 M60i xDrive,SUV: Standard,4.4,8,AS8,Z,14.3,11.1,299,4,5
2023,BMW,Z4 sDrive30i,Two-seater,2,4,AS8,Z,9.4,7.1,194,6,7
2023,BMW,Z4 M40i,Two-seater,3,6,AS8,Z,10.4,7.5,210,5,5
2023,Bugatti,Chiron,Two-seater,8,16,AM7,Z,26.8,16.6,522,1,1
2023,Bugatti,Chiron Pur Sport,Two-seater,8,16,AM7,Z,30.3,20.9,608,1,1
2023,Bugatti,Chiron Super Sport,Two-seater,8,16,AM7,Z,30.3,20.9,608,1,1
2023,Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,277,4,6
2023,Buick,Encore GX,SUV: Small,1.2,3,AV,X,8,7.6,184,6,7
2023,Buick,Encore GX,SUV: Small,1.3,3,AV,X,8.2,7.4,185,6,7
2023,Buick,Encore GX AWD,SUV: Small,1.3,3,A9,X,9,8.3,202,5,7
2023,Buick,Envision,SUV: Small,2,4,AS9,X,10.2,7.5,211,5,7
2023,Buick,Envision AWD,SUV: Small,2,4,AS9,X,10.5,8.2,222,5,7
2023,Cadillac,CT4,Compact,2,4,AS8,Z,10.2,7,206,5,7
2023,Cadillac,CT4,Compact,2.7,4,AS10,Z,11,7.6,221,5,6
2023,Cadillac,CT4 AWD,Compact,2,4,AS8,Z,10.5,7.6,216,5,7
2023,Cadillac,CT4 AWD,Compact,2.7,4,AS10,Z,11.3,8.1,231,5,6
2023,Cadillac,CT4-V,Compact,2.7,4,AS10,Z,11.9,8.2,239,5,6
2023,Cadillac,CT4-V AWD,Compact,2.7,4,AS10,Z,12,8.4,244,5,6
2023,Cadillac,CT4-V Blackwing,Compact,3.6,6,AS10,Z,15,9.7,297,4,5
2023,Cadillac,CT4-V Blackwing,Compact,3.6,6,M6,Z,15.2,10.2,303,4,5
2023,Cadillac,CT5,Mid-size,2,4,AS10,Z,10.3,7.1,207,5,7
2023,Cadillac,CT5,Mid-size,3,6,AS10,Z,12.4,8.7,252,5,5
2023,Cadillac,CT5 AWD,Mid-size,2,4,AS10,Z,10.9,7.8,222,5,7
2023,Cadillac,CT5 AWD,Mid-size,3,6,AS10,Z,13.1,9.1,265,4,5
2023,Cadillac,CT5-V,Mid-size,3,6,AS10,Z,13.1,8.8,263,4,5
2023,Cadillac,CT5-V AWD,Mid-size,3,6,AS10,Z,13.1,9.1,265,4,5
2023,Cadillac,CT5-V Blackwing,Mid-size,6.2,8,AS10,Z,17.9,11,347,3,3
2023,Cadillac,CT5-V Blackwing,Mid-size,6.2,8,M6,Z,18.4,11.4,368,2,3
2023,Cadillac,Escalade 4WD,SUV: Standard,3,6,A10,D,11.7,9,281,4,3
2023,Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,Z,16.6,13.1,352,3,6
2023,Cadillac,Escalade-V AWD,SUV: Standard,6.2,8,AS10,Z,21.6,14.9,436,1,3
2023,Cadillac,XT4,SUV: Small,2,4,AS9,Z,10.2,7.8,214,5,7
2023,Cadillac,XT4 AWD,SUV: Small,2,4,AS9,Z,10.9,8.2,228,5,7
2023,Cadillac,XT5,SUV: Small,2,4,AS9,Z,10.9,8.2,228,5,7
2023,Cadillac,XT5 AWD,SUV: Small,2,4,AS9,Z,11.2,8.7,237,5,7
2023,Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,X,12.9,9.3,265,4,6
2023,Cadillac,XT6 AWD,SUV: Small,2,4,AS9,Z,11.2,9,239,5,7
2023,Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,X,13.1,9.5,269,4,6
2023,Chevrolet,Blazer,SUV: Small,2,4,A9,X,10.6,8,227,5,7
2023,Chevrolet,Blazer AWD,SUV: Small,2,4,A9,X,10.8,8.7,232,5,7
2023,Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,X,12.6,9.2,259,4,6
2023,Chevrolet,Camaro,Subcompact,2,4,AS8,Z,10.9,7.8,222,5,5
2023,Chevrolet,Camaro,Subcompact,2,4,M6,Z,12.6,8.3,249,5,5
2023,Chevrolet,Camaro,Subcompact,3.6,6,AS10,X,12.8,8.2,253,5,6
2023,Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.4,9.1,281,4,6
2023,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,14.6,8.9,281,4,1
2023,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.9,9.9,297,4,1
2023,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,18.3,11.2,355,3,1
2023,Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,Z,17.2,12,349,3,1
2023,Chevrolet,Colorado,Pickup truck: Small,2.7,4,A8,X,11.7,9.5,252,5,7
2023,Chevrolet,Colorado (Turbo Plus),Pickup truck: Small,2.7,4,A8,X,13,10.3,277,4,7
2023,Chevrolet,Colorado 4WD,Pickup truck: Small,2.7,4,A8,X,12.3,10.2,265,4,7
2023,Chevrolet,Colorado 4WD (Turbo Plus),Pickup truck: Small,2.7,4,A8,X,13.5,11,290,4,7
2023,Chevrolet,Colorado 4WD Mud Terrain Tire (Turbo Plus),Pickup truck: Small,2.7,4,A8,X,13.9,12.1,307,4,7
2023,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.7,4,A8,X,14.3,14.3,335,3,7
2023,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15,9.8,299,4,5
2023,Chevrolet,Corvette Z06,Two-seater,5.5,8,AS8,Z,19.4,11.4,371,2,3
2023,Chevrolet,Corvette Z06 Carbon Aero,Two-seater,5.5,8,AS8,Z,20,12.7,392,2,3
2023,Chevrolet,Equinox,SUV: Small,1.5,4,A6,X,8.9,7.7,197,6,7
2023,Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,X,9.9,7.9,211,5,7
2023,Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.6,6.8,181,6,7
2023,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,12.7,11.2,281,4,7
2023,Chevrolet,Silverado,Pickup truck: Standard,3,6,A10,D,10,8.1,247,5,5
2023,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A10,X,14,11.1,298,4,6
2023,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A10,X,14.3,11.7,308,4,5
2023,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A10,E,19.6,15.3,293,4,5
2023,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,12.9,11.5,288,4,7
2023,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,13.8,13.2,318,3,7
2023,Chevrolet,Silverado 4WD,Pickup truck: Standard,3,6,A10,D,10.7,8.7,264,4,5
2023,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,3,6,A10,D,11.1,10.2,288,4,5
2023,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,14.8,11.8,325,3,6
2023,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A10,X,15.2,12.2,326,3,5
2023,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A10,E,21.3,16.6,318,3,5
2023,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A10,X,15.8,13.2,343,3,6
2023,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A10,X,15.2,12.2,326,3,5
2023,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A10,E,21.3,16.6,318,3,5
2023,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,Z,14.9,12,319,3,6
2023,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,6.2,8,A10,Z,16.7,12.7,349,3,6
2023,Chevrolet,Silverado 4WD ZR2,Pickup truck: Standard,6.2,8,A10,Z,16.7,14,364,2,6
2023,Chevrolet,Suburban,SUV: Standard,3,6,A10,D,11.2,8.7,272,4,3
2023,Chevrolet,Suburban,SUV: Standard,5.3,8,A10,X,15.8,11.8,327,3,6
2023,Chevrolet,Suburban 4WD,SUV: Standard,3,6,A10,D,11.7,9,281,4,3
